6.456693 0.000065
26.614173 0.000071
41.732283 0.000143
56.850394 0.000280
71.338583 0.000542
80.157480 0.000774
89.606299 0.001012
97.480315 0.001220
104.094488 0.001470
109.133858 0.001756
110.393701 0.001970
110.393701 0.002298
113.228346 0.002060
114.803150 0.001815
116.062992 0.001488
117.322835 0.000988
119.842520 0.000601
125.826772 0.000298
132.440945 0.000274
134.645669 0.000208
141.889764 0.000190
153.543307 0.000238
168.031496 0.000399
177.795276 0.000619
182.519685 0.000786
191.023622 0.000857
196.692913 0.000857

