6.87500 121.99594
9.68750 167.06734
12.50000 201.93932
15.15625 229.85067
17.96875 236.31646
21.09375 221.50398
23.75000 200.08053
26.87500 169.40088
31.87500 123.69994
35.93750 95.48160
42.50000 64.75078
50.00000 45.14592
58.59375 31.33170
74.06250 18.75393
90.00000 12.14332
106.25000 7.97272
111.25000 6.65722
115.31250 5.23450
117.50000 4.68471
122.18750 4.43186
135.00000 4.27093
141.87500 4.27093
147.50000 4.27093
152.18750 4.27093
164.68750 4.35065
174.37500 4.43186
182.18750 4.51459
190.00000 4.59886
196.56250 4.72823
200.00000 4.77216
